	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.009983062744140625	6.335211992263794	African_elephant	0.8399290442466736	tusker	0.09155289083719254	Indian_elephant	0.0061472440138459206
cat	0.021587848663330078	1.0596787929534912	Egyptian_cat	0.8696268796920776	tabby	0.0198951568454504	tiger_cat	0.009371181949973106
horse	0.003031015396118164	1.0876960754394531	sorrel	0.5351978540420532	hartebeest	0.3072752356529236	impala	0.0016222159611061215
toilet_tissue	0.007880926132202148	1.082056999206543	toilet_tissue	0.6934444308280945	plunger	0.21357402205467224	toilet_seat	0.031140057370066643
bike	0.00847005844116211	1.086949110031128	mountain_bike	0.8856468796730042	bicycle-built-for-two	0.005259545985609293	malamute	0.002986759878695011
cup	0.0725409984588623	1.0984888076782227	pretzel	0.5003868937492371	coffee_mug	0.3108426332473755	cup	0.03706983104348183
woman	0.009009838104248047	1.073988914489746	toilet_tissue	0.7008128762245178	groom	0.0389900803565979	hoopskirt	0.022059407085180283
