	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.044085025787353516	3.3697099685668945	African_elephant	0.4659145474433899	tusker	0.17848733067512512	Indian_elephant	0.011932207271456718
cat	0.03411722183227539	0.5865950584411621	cougar	0.3120100796222687	Egyptian_cat	0.19108186662197113	jaguar	0.039895012974739075
horse	0.005838155746459961	0.5618150234222412	hartebeest	0.6406984925270081	sorrel	0.013940633274614811	impala	0.0060484325513243675
toilet_tissue	0.00882720947265625	0.5526280403137207	toilet_tissue	0.46262991428375244	toilet_seat	0.25753334164619446	shower_curtain	0.08611207455396652
bike	0.01797795295715332	0.5596358776092529	mountain_bike	0.28136155009269714	toilet_tissue	0.0782807469367981	water_jug	0.04770704731345177
cup	0.0867910385131836	0.5959880352020264	coffee_mug	0.6401757597923279	cup	0.08950820565223694	coffeepot	0.01342082116752863
woman	0.01706385612487793	0.5965211391448975	plunger	0.11792992055416107	hoopskirt	0.10664855688810349	toilet_tissue	0.07784963399171829
