	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.019781827926635742	0.645082950592041	tusker	0.5683947801589966	African_elephant	0.35807517170906067	Indian_elephant	0.0671948492527008
cat	0.019486188888549805	0.5297250747680664	French_bulldog	0.7060317397117615	tabby	0.12647700309753418	Egyptian_cat	0.04473331570625305
horse	0.003505229949951172	0.5342919826507568	hartebeest	0.9347346425056458	sorrel	0.04215865954756737	gazelle	0.007201650179922581
toilet_tissue	0.00705409049987793	0.524022102355957	shower_curtain	0.1841478794813156	washbasin	0.09883467108011246	bathtub	0.08522039651870728
bike	0.007922887802124023	0.5447652339935303	mountain_bike	0.8933034539222717	bicycle-built-for-two	0.06365709006786346	unicycle	0.01276438869535923
cup	0.07546401023864746	0.5467209815979004	coffee_mug	0.8891113996505737	cup	0.056229107081890106	coffeepot	0.020828476175665855
woman	0.0068759918212890625	0.5402700901031494	tub	0.5391810536384583	bathtub	0.1783844232559204	mosquito_net	0.05578581616282463
