	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.014996051788330078	0.11535120010375977	African_elephant	0.4433576166629791	tusker	0.3522401750087738	Indian_elephant	0.07531948387622833
cat	0.035164833068847656	0.09924197196960449	Egyptian_cat	0.3579339385032654	tabby	0.32058992981910706	tiger_cat	0.08383110165596008
horse	0.00513005256652832	0.12546110153198242	hartebeest	0.574816882610321	sorrel	0.19507694244384766	Arabian_camel	0.02495848946273327
toilet_tissue	0.008491039276123047	0.10314083099365234	toilet_seat	0.3169993758201599	toilet_tissue	0.2921939790248871	plunger	0.2558160126209259
bike	0.01992201805114746	0.09911799430847168	mountain_bike	0.8068849444389343	bicycle-built-for-two	0.056153420358896255	unicycle	0.011925343424081802
cup	0.09472179412841797	0.09726524353027344	coffee_mug	0.5474420189857483	coffeepot	0.17111364006996155	cup	0.11661889404058456
woman	0.018924951553344727	0.11203980445861816	bathtub	0.25839027762413025	tub	0.2414836585521698	groom	0.07154183834791183
