	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.04116487503051758	0.9197287559509277	African_elephant	0.892753005027771	Indian_elephant	0.046482257544994354	megalith	0.03488093242049217
cat	0.04090690612792969	0.19403910636901855	French_bulldog	0.2968428432941437	Egyptian_cat	0.234288290143013	pug	0.13723523914813995
horse	0.006189107894897461	0.18743896484375	hartebeest	0.9871618151664734	Arabian_camel	0.0042513092048466206	gazelle	0.003603754099458456
toilet_tissue	0.009530782699584961	0.20056390762329102	shower_curtain	0.8987773656845093	toilet_tissue	0.08404305577278137	plunger	0.012621814385056496
bike	0.012128114700317383	0.18305683135986328	mountain_bike	0.48466652631759644	swing	0.058541636914014816	bicycle-built-for-two	0.04751276969909668
cup	0.0962228775024414	0.17441701889038086	coffee_mug	0.9379945397377014	coffeepot	0.016222894191741943	pitcher	0.015489239245653152
woman	0.020010948181152344	0.18478608131408691	tub	0.2502087950706482	wig	0.18662422895431519	groom	0.15935787558555603
