	load time	predict time	predict1	pro1	predict2	pro2	predict3	pro3
elephant	0.03809785842895508	0.44913482666015625	African_elephant	0.5765282511711121	tusker	0.3679775893688202	Indian_elephant	0.04408453777432442
cat	0.026362895965576172	0.06269407272338867	American_black_bear	0.27126598358154297	French_bulldog	0.17388612031936646	koala	0.16476008296012878
horse	0.0026171207427978516	0.05709385871887207	sorrel	0.592075526714325	hartebeest	0.3442576229572296	gazelle	0.026665832847356796
toilet_tissue	0.006499052047729492	0.06105399131774902	plunger	0.3803582787513733	toilet_tissue	0.31670236587524414	toilet_seat	0.05671920254826546
bike	0.009480953216552734	0.07462382316589355	mountain_bike	0.6540346741676331	bicycle-built-for-two	0.20947089791297913	unicycle	0.09301102161407471
cup	0.07234716415405273	0.05855703353881836	coffee_mug	0.9253435134887695	cup	0.03717498108744621	teapot	0.01468675397336483
woman	0.006427764892578125	0.060562849044799805	groom	0.19418059289455414	mosquito_net	0.16801708936691284	gown	0.13966737687587738
