wound,inference_time,transfer_file_size,donor_file_size,frontend_K_time,frontend_execution_time,frontend_save_time,backend_load_time,backend_execution_time,backend_result_time,frontend_time,backend_time,final_result_load_time,surgery_time
[1],0.9619529247283936,635296,25,0.002792835235595703,0.18969082832336426,0.012398958206176758,0.10238122940063477,0.34067296981811523,0.0022368431091308594,0.20208978652954102,0.44529104232788086,0.00013709068298339844,0.6475179195404053
[2],0.17319869995117188,3211752,25,0.0021800994873046875,0.1680889129638672,0.0071010589599609375,0.07327103614807129,0.39371705055236816,0.001600027084350586,0.17518997192382812,0.46858811378479004,0.0001327991485595703,0.6439108848571777
[3],0.1732959747314453,3211758,25,0.002674102783203125,0.23459601402282715,0.008788824081420898,0.07635283470153809,0.39046716690063477,0.00042510032653808594,0.24338483810424805,0.46724510192871094,0.00010895729064941406,0.7107388973236084
[4],0.16512274742126465,3211762,25,0.002396106719970703,0.17770004272460938,0.007588863372802734,0.07365608215332031,0.3943171501159668,0.0016100406646728516,0.1852889060974121,0.46958327293395996,0.00011301040649414062,0.6549851894378662
[5],0.18581914901733398,3327472,25,0.002705812454223633,0.226409912109375,0.005519866943359375,0.07064509391784668,0.40762996673583984,0.0005409717559814453,0.23192977905273438,0.47881603240966797,0.00012373924255371094,0.710869550704956
[6],0.18317008018493652,803320,25,0.002952098846435547,0.2263951301574707,0.0030732154846191406,0.018438339233398438,0.4012007713317871,0.0015850067138671875,0.22946834564208984,0.42122411727905273,0.00012087821960449219,0.6508133411407471
"[7, 14]",0.18908405303955078,4014840,25,0.004531145095825195,0.23122787475585938,0.0073740482330322266,0.07937908172607422,0.37513303756713867,0.00045800209045410156,0.2386019229888916,0.454970121383667,0.00012683868408203125,0.6936988830566406
"[7, 16]",0.16095495223999023,4014838,25,0.0035638809204101562,0.2141580581665039,0.005059003829956055,0.0866858959197998,0.39896392822265625,0.0004982948303222656,0.21921706199645996,0.4861481189727783,0.0001201629638671875,0.7054853439331055
"[8, 14]",0.18772101402282715,4014838,25,0.004395008087158203,0.23307299613952637,0.007981061935424805,0.0823521614074707,0.38533568382263184,0.0005838871002197266,0.24105405807495117,0.46827173233032227,0.00012612342834472656,0.7094519138336182
"[8, 16]",0.1983332633972168,4014836,25,0.004624843597412109,0.24304699897766113,0.007688045501708984,0.07287907600402832,0.3834688663482666,0.0005249977111816406,0.2507350444793701,0.45687294006347656,0.00013208389282226562,0.707740068435669
"[9, 14]",0.17627596855163574,4014836,25,0.004434108734130859,0.23432183265686035,0.007861137390136719,0.07086777687072754,0.39658212661743164,0.0015749931335449219,0.24218297004699707,0.4690248966217041,0.00013589859008789062,0.7113437652587891
"[9, 16]",0.17684412002563477,4014834,25,0.004436016082763672,0.2448749542236328,0.007735013961791992,0.07517194747924805,0.38602781295776367,0.0016019344329833984,0.2526099681854248,0.4628016948699951,0.00013709068298339844,0.7155487537384033
"[10, 14]",0.20009231567382812,4014840,25,0.0043752193450927734,0.2480020523071289,0.008647918701171875,0.07040286064147949,0.38239407539367676,0.0015988349914550781,0.2566499710083008,0.45439577102661133,0.00013208389282226562,0.7111778259277344
"[10, 16]",0.1879129409790039,4014838,25,0.0047299861907958984,0.25903987884521484,0.008416175842285156,0.1577749252319336,0.37978601455688477,0.0005128383636474609,0.2674560546875,0.5380737781524658,0.00012803077697753906,0.8056578636169434
"[11, 14]",0.1819441318511963,4014838,25,0.004484891891479492,0.25734806060791016,0.007908821105957031,0.07448911666870117,0.41230177879333496,0.0005831718444824219,0.2652568817138672,0.48737406730651855,0.0001380443572998047,0.7527689933776855
