wound,inference_time,transfer_file_size,frontend_execution_time,frontend_save_time,frontend_time
"[(1, 1)]",6.496565103530884,3211744,1.0531039237976074,0.4313240051269531,1.4844279289245605
"[(2, 1)]",1.8735051155090332,3211750,1.117879867553711,0.08840656280517578,1.2062864303588867
"[(3, 1)]",1.8086366653442383,3211754,1.1486406326293945,0.6908926963806152,1.8395333290100098
"[(4, 1)]",1.8220696449279785,774896,1.1610023975372314,0.4149649143218994,1.5759673118591309
"[(5, 1)]",1.8558616638183594,774898,1.1914081573486328,0.11496329307556152,1.3063714504241943
"[(6, 1)]",2.590134620666504,774896,1.9185869693756104,0.12595915794372559,2.044546127319336
"[(7, 1)]",1.7986278533935547,774894,1.230825424194336,0.3094813823699951,1.540306806564331
"[(8, 1)]",1.8075358867645264,774898,1.2669477462768555,0.1112208366394043,1.3781685829162598
"[(9, 1)]",1.8067009449005127,774896,1.3306713104248047,0.11822915077209473,1.4489004611968994
"[(10, 1)]",1.7994458675384521,774894,1.3363299369812012,0.11339068412780762,1.4497206211090088
"[(11, 1)]",1.8098344802856445,3098098,1.377493143081665,0.681812047958374,2.059305191040039
"[(12, 1)]",1.8689911365509033,3098096,1.2127256393432617,0.49931836128234863,1.7120440006256104
"[(13, 1)]",1.843320608139038,3098096,1.4314188957214355,0.5034027099609375,1.934821605682373
"[(14, 1)]",1.8681354522705078,3098094,1.2605376243591309,0.38506245613098145,1.6456000804901123
"[(15, 1)]",1.8209757804870605,3098076,1.5688600540161133,0.25013136863708496,1.8189914226531982
"[(16, 1)]",1.8220465183258057,3098094,1.532710313796997,0.1409289836883545,1.6736392974853516
"[(17, 1)]",1.8228261470794678,774898,1.5890750885009766,0.09479212760925293,1.6838672161102295
"[(18, 1)]",1.830559492111206,774896,1.6197974681854248,0.11394500732421875,1.7337424755096436
"[(19, 1)]",1.7811205387115479,774894,1.6618390083312988,0.5485589504241943,2.210397958755493
"[(20, 1)]",1.8510804176330566,774898,1.6966331005096436,0.11440730094909668,1.8110404014587402
"[(21, 1)]",1.8275139331817627,774896,1.7499363422393799,0.11603927612304688,1.8659756183624268
"[(22, 1)]",1.8204071521759033,774894,1.7534711360931396,0.43419551849365234,2.187666654586792
"[(23, 1)]",1.8564131259918213,3098098,1.8033664226531982,0.6872851848602295,2.4906516075134277
"[(24, 1)]",1.8905718326568604,3098096,1.873793601989746,0.8545448780059814,2.7283384799957275
"[(25, 1)]",1.8590006828308105,3098080,1.863332986831665,0.08352994918823242,1.9468629360198975
"[(26, 1)]",1.816270112991333,3098094,1.8723151683807373,0.48528552055358887,2.357600688934326
"[(27, 1)]",1.8160533905029297,774898,1.9314589500427246,0.09037637710571289,2.0218353271484375
"[(28, 1)]",1.8348147869110107,774896,1.9406630992889404,0.11388826370239258,2.054551362991333
"[(29, 1)]",1.8237414360046387,774894,1.9974665641784668,0.12107324600219727,2.118539810180664
"[(30, 1)]",1.800037145614624,774898,2.042819023132324,0.10123181343078613,2.1440508365631104
"[(31, 1)]",1.818439245223999,774896,2.0812978744506836,0.10039591789245605,2.1816937923431396
"[(32, 1)]",1.8149957656860352,774894,2.073092222213745,0.10194897651672363,2.1750411987304688
"[(33, 1)]",1.8345983028411865,3098098,2.1340651512145996,0.7938230037689209,2.9278881549835205
"[(34, 1)]",1.8504915237426758,3098096,2.201585054397583,0.48673057556152344,2.6883156299591064
"[(35, 1)]",1.8434102535247803,3098080,2.242574453353882,0.11696362495422363,2.3595380783081055
"[(36, 1)]",1.8015131950378418,3098094,2.215062141418457,0.5694959163665771,2.784558057785034
"[(37, 1)]",3.190826177597046,401906,2.3174707889556885,0.07425808906555176,2.3917288780212402
"[(38, 1)]",1.8119847774505615,401904,2.265842914581299,0.5871362686157227,2.8529791831970215
"[(39, 1)]",1.863055944442749,401904,2.269604444503784,0.06783580780029297,2.337440252304077
"[(40, 1)]",1.807591438293457,401906,2.3435192108154297,0.06808805465698242,2.411607265472412
"[(41, 1)]",1.7916555404663086,401904,2.390756368637085,0.06473517417907715,2.455491542816162
"[(42, 1)]",1.8111069202423096,401904,2.400721549987793,0.0638575553894043,2.4645791053771973
"[(43, 1)]",1.8303742408752441,1606130,2.447427988052368,0.6475112438201904,3.0949392318725586
"[(44, 1)]",1.8630397319793701,1606128,2.2873730659484863,0.18536043167114258,2.472733497619629
"[(45, 1)]",1.7785801887512207,1606128,2.5034902095794678,0.1968526840209961,2.700342893600464
"[(46, 1)]",1.819831132888794,1606126,2.31186580657959,0.12798118591308594,2.439846992492676
"[(47, 1)]",1.8160717487335205,1606112,2.608189105987549,0.05704164505004883,2.6652307510375977
"[(48, 1)]",1.812027931213379,1606128,2.647768974304199,0.16067790985107422,2.8084468841552734
"[(49, 1)]",1.801367998123169,401906,2.639709949493408,0.5365588665008545,3.1762688159942627
"[(50, 1)]",1.85200834274292,401904,2.6947617530822754,0.06242990493774414,2.7571916580200195
"[(51, 1)]",1.819493055343628,401904,2.7039313316345215,0.06678032875061035,2.770711660385132
"[(52, 1)]",1.82405424118042,401906,2.8012354373931885,0.06332850456237793,2.8645639419555664
"[(53, 1)]",1.8286197185516357,401904,2.8006012439727783,0.06586980819702148,2.8664710521698
"[(54, 1)]",1.8063254356384277,401904,2.81668758392334,0.06688690185546875,2.8835744857788086
"[(55, 1)]",1.84660005569458,1606130,2.8477964401245117,0.5528669357299805,3.400663375854492
"[(56, 1)]",1.8612029552459717,1606128,2.9048311710357666,0.18003535270690918,3.084866523742676
"[(57, 1)]",1.7999210357666016,1606112,2.929952621459961,0.5434188842773438,3.4733715057373047
"[(58, 1)]",1.8736207485198975,1606128,2.900165319442749,0.11002302169799805,3.010188341140747
"[(59, 1)]",1.800494909286499,401906,2.9555106163024902,0.0668182373046875,3.0223288536071777
"[(60, 1)]",3.076051712036133,401904,3.2094268798828125,0.0650641918182373,3.27449107170105
"[(61, 1)]",1.8066980838775635,401904,2.993042469024658,0.06444573402404785,3.057488203048706
"[(62, 1)]",3.2362818717956543,401906,3.18582820892334,0.06891942024230957,3.2547476291656494
"[(63, 1)]",1.8450522422790527,401904,3.1126718521118164,0.0856790542602539,3.1983509063720703
"[(64, 1)]",1.82124662399292,401904,3.1038429737091064,0.07720565795898438,3.181048631668091
"[(65, 1)]",1.8088784217834473,1606130,3.144829034805298,0.6794741153717041,3.824303150177002
"[(66, 1)]",1.839359998703003,1606128,3.221895933151245,0.058860063552856445,3.2807559967041016
"[(67, 1)]",1.796806812286377,1606112,3.2404379844665527,0.590510368347168,3.8309483528137207
"[(68, 1)]",1.8752970695495605,1606128,3.2474312782287598,0.19621777534484863,3.4436490535736084
"[(69, 1)]",1.8047988414764404,401906,3.2805864810943604,0.09005331993103027,3.3706398010253906
"[(70, 1)]",1.8322696685791016,401904,3.3232221603393555,0.07683801651000977,3.4000601768493652
"[(71, 1)]",1.8247158527374268,401904,3.3474087715148926,0.08036255836486816,3.4277713298797607
"[(72, 1)]",1.8202049732208252,401906,3.3742880821228027,0.07637953758239746,3.4506676197052
"[(73, 1)]",2.891136407852173,401904,3.839331865310669,0.06863832473754883,3.9079701900482178
"[(74, 1)]",1.8320398330688477,401904,3.4813075065612793,0.08492755889892578,3.566235065460205
"[(75, 1)]",1.809776782989502,1606130,3.488917112350464,0.4530985355377197,3.9420156478881836
"[(76, 1)]",1.8108875751495361,1606128,3.5373599529266357,0.18223118782043457,3.7195911407470703
"[(77, 1)]",1.8081984519958496,1606112,3.6172292232513428,0.16671371459960938,3.783942937850952
"[(78, 1)]",1.7941529750823975,1606128,3.554654121398926,0.0639657974243164,3.618619918823242
"[(79, 1)]",1.7911405563354492,201202,3.5838193893432617,0.057271480560302734,3.6410908699035645
"[(80, 1)]",1.8072562217712402,201200,3.6158535480499268,0.051081180572509766,3.6669347286224365
"[(81, 1)]",1.8266685009002686,201200,3.6520514488220215,0.058699846267700195,3.7107512950897217
"[(82, 1)]",1.822648286819458,201202,3.7447216510772705,0.06053638458251953,3.80525803565979
"[(83, 1)]",1.8235769271850586,201200,3.8377346992492676,0.05103325843811035,3.888767957687378
"[(84, 1)]",1.8229424953460693,201200,3.817434549331665,0.051317691802978516,3.8687522411346436
"[(85, 1)]",1.842404842376709,803314,3.878711223602295,0.10606098175048828,3.984772205352783
"[(86, 1)]",1.8348314762115479,803312,3.694115161895752,0.6149251461029053,4.309040307998657
"[(87, 1)]",1.8478267192840576,803312,3.9314451217651367,0.10988426208496094,4.041329383850098
"[(88, 1)]",1.815917730331421,803310,3.7679636478424072,0.11161565780639648,3.8795793056488037
"[(89, 1)]",1.8098475933074951,803296,4.029866695404053,0.04464554786682129,4.074512243270874
"[(90, 1)]",1.8160762786865234,803312,3.9637205600738525,0.11336040496826172,4.077080965042114
"[(91, 1)]",1.8057057857513428,201202,4.007603406906128,0.06485986709594727,4.072463274002075
"[(92, 1)]",1.8514683246612549,201200,4.094754695892334,0.06120133399963379,4.155956029891968
"[(93, 1)]",1.80533766746521,201200,4.658514499664307,0.06267905235290527,4.721193552017212
"[(94, 1)]",2.7214503288269043,201202,4.109967947006226,0.06486940383911133,4.174837350845337
"[(95, 1)]",1.8248426914215088,201200,4.1920671463012695,0.049378156661987305,4.241445302963257
"[(96, 1)]",1.7984459400177002,201200,4.205279588699341,0.5077767372131348,4.713056325912476
"[(97, 1)]",1.8494181632995605,803314,4.256316900253296,0.11043357849121094,4.366750478744507
"[(98, 1)]",1.82464599609375,803312,4.272095441818237,0.10913419723510742,4.381229639053345
"[(99, 1)]",1.7966275215148926,803296,4.36013388633728,0.11137247085571289,4.471506357192993
"[(100, 1)]",1.8137900829315186,803312,4.2995970249176025,0.116485595703125,4.4160826206207275
"[(101, 1)]",1.814204216003418,201202,4.3225016593933105,0.04943346977233887,4.371935129165649
"[(102, 1)]",1.8296294212341309,201200,4.386617660522461,0.05259966850280762,4.4392173290252686
"[(103, 1)]",2.3236029148101807,201200,5.401845216751099,0.04986262321472168,5.45170783996582
"[(104, 1)]",1.8158042430877686,201202,4.464600563049316,0.04964160919189453,4.514242172241211
"[(105, 1)]",1.788581132888794,201200,4.507341623306274,0.0502171516418457,4.55755877494812
"[(106, 1)]",1.842780590057373,201200,4.5588507652282715,0.048444509506225586,4.607295274734497
"[(107, 1)]",1.7976338863372803,803314,4.581150054931641,0.12937211990356445,4.710522174835205
"[(108, 1)]",1.7028110027313232,803312,4.61583137512207,0.11414885520935059,4.729980230331421
"[(109, 1)]",1.7950820922851562,803296,4.630615472793579,0.11011886596679688,4.740734338760376
